Country for Scenarios,FAO Country,Unit,Value,,
Afghanistan,Afghanistan,1000 ha,7919,,
Albania,Albania,1000 ha,696,,
Algeria,Algeria,1000 ha,8517.017,,
,American Samoa,1000 ha,4.9,,
Andorra,Andorra,1000 ha,0.83,,
Angola,Angola,1000 ha,5215,,
Antigua and Barbuda,Antigua and Barbuda,1000 ha,5,,
Argentina,Argentina,1000 ha,40268,,
Armenia,Armenia,1000 ha,504.7,,
,Aruba,1000 ha,2,,
Australia,Australia,1000 ha,31306,,
Austria,Austria,1000 ha,1394.02,,
Azerbaijan,Azerbaijan,1000 ha,2352.9,,
Bahamas,Bahamas,1000 ha,12,,
Bahrain,Bahrain,1000 ha,4.6,,
Bangladesh,Bangladesh,1000 ha,8602.3,,
Barbados,Barbados,1000 ha,8,,
Belarus,Belarus,1000 ha,5823,,
Belgium,Belgium,1000 ha,874,,
Belize,Belize,1000 ha,122,,
Benin,Benin,1000 ha,3400,,
,Bermuda,1000 ha,0.3,,
Bhutan,Bhutan,1000 ha,100,,
Bolivia,Bolivia (Plurinational State of),1000 ha,4727,,
Bosnia and Herzegovina,Bosnia and Herzegovina,1000 ha,1129,,
Botswana,Botswana,1000 ha,261.6,,
Brazil,Brazil,1000 ha,63518,,
,British Virgin Islands,1000 ha,2,,
Brunei Darussalam,Brunei Darussalam,1000 ha,11,,
Bulgaria,Bulgaria,1000 ha,3631,,
Burkina Faso,Burkina Faso,1000 ha,6100,,
Burma,,,,,Myanmar
Burundi,Burundi,1000 ha,1550,,
,Cabo Verde,1000 ha,54,,
Cambodia,Cambodia,1000 ha,4066,,
Cameroon,Cameroon,1000 ha,7750,,
Canada,Canada,1000 ha,38857,,
Cape Verde,,,,,No Data
,Cayman Islands,1000 ha,0.7,,
Central African Republic,Central African Republic,1000 ha,1880,,
Chad,Chad,1000 ha,5238,,
,Channel Islands,1000 ha,3.82,,
Chile,Chile,1000 ha,1678,,
China,China,1000 ha,135694.7,,
,"China, Hong Kong SAR",1000 ha,4,,
,"China, mainland",1000 ha,134900,,
,"China, Taiwan Province of",1000 ha,790.7,,
Colombia,Colombia,1000 ha,9892,,
Comoros,Comoros,1000 ha,116,,
Congo,Congo,1000 ha,628,,
Cook Islands,Cook Islands,1000 ha,1.5,,
Costa Rica,Costa Rica,1000 ha,582.5,,
Cote d'Ivoire,Côte d'Ivoire,1000 ha,8000,,
Croatia,Croatia,1000 ha,876,,
Cuba,Cuba,1000 ha,3561.6,,
Cyprus,Cyprus,1000 ha,129.355,,
Czech Republic,Czechia,1000 ha,2533,,
,Democratic People's Republic of Korea,1000 ha,2580,,
Democratic Republic of the Congo,Democratic Republic of the Congo,1000 ha,13300,,
Denmark,Denmark,1000 ha,2420,,
Djibouti,Djibouti,1000 ha,2,,
Dominica,Dominica,1000 ha,23,,
Dominican Republic,Dominican Republic,1000 ha,1232,,
Ecuador,Ecuador,1000 ha,2354,,
Egypt,Egypt,1000 ha,3835.9688,,
El Salvador,El Salvador,1000 ha,854,,
Equatorial Guinea,Equatorial Guinea,1000 ha,180,,
Eritrea,Eritrea,1000 ha,692,,
Estonia,Estonia,1000 ha,692,,
,Eswatini,1000 ha,190,,
Ethiopia,Ethiopia,1000 ha,17903,,
,Faroe Islands,1000 ha,3,,
Fiji,Fiji,1000 ha,250,,
Finland,Finland,1000 ha,2247,,
France,France,1000 ha,19132.2,,
French Guiana,French Guyana,1000 ha,18.82,,
,French Polynesia,1000 ha,25.5,,
Gabon,Gabon,1000 ha,495,,
Gambia,Gambia,1000 ha,445,,
Georgia,Georgia,1000 ha,431.8,,
Germany,Germany,1000 ha,11930,,
Ghana,Ghana,1000 ha,7400,,
Greece,Greece,1000 ha,3221.6,,
Greenland,,,,,No DATA
Grenada,Grenada,1000 ha,7,,
,Guadeloupe,1000 ha,25.73,,
,Guam,1000 ha,10,,
Guatemala,Guatemala,1000 ha,2045,,
Guinea,Guinea,1000 ha,3800,,
Guinea-Bissau,Guinea-Bissau,1000 ha,550,,
Guyana,Guyana,1000 ha,470,,
Haiti,Haiti,1000 ha,1350,,
Honduras,Honduras,1000 ha,1596,,
Hungary,Hungary,1000 ha,4497,,
Iceland,Iceland,1000 ha,121,,
India,India,1000 ha,169416,,
Indonesia,Indonesia,1000 ha,51300,,
Iran (Islamic Republic of),Iran (Islamic Republic of),1000 ha,16477,,
Iraq,Iraq,1000 ha,5250,,
Ireland,Ireland,1000 ha,452,,
,Isle of Man,1000 ha,23.1,,
Israel,Israel,1000 ha,483.3,,
Italy,Italy,1000 ha,9160,,
Jamaica,Jamaica,1000 ha,215,,
Japan,Japan,1000 ha,4420,,
Jordan,Jordan,1000 ha,279.8,,
Kazakhstan,Kazakhstan,1000 ha,29880.4,,
Kenya,Kenya,1000 ha,6330,,
Kiribati,Kiribati,1000 ha,34,,
"Korea, Democratic People's Republic of",,,,,Slightly different name
"Korea, Republic of",,,,,Slightly different name
Kuwait,Kuwait,1000 ha,14,,
Kyrgyzstan,Kyrgyzstan,1000 ha,1365,,
Lao People's Democratic Republic,Lao People's Democratic Republic,1000 ha,1719,,
Latvia,Latvia,1000 ha,1303,,
Lebanon,Lebanon,1000 ha,258,,
Lesotho,Lesotho,1000 ha,433.3,,
Liberia,Liberia,1000 ha,700,,
Libyan Arab Jamahiriya,Libya,1000 ha,2050,,
Liechtenstein,Liechtenstein,1000 ha,2.16,,
Lithuania,Lithuania,1000 ha,2151,,
Luxembourg,Luxembourg,1000 ha,63.676,,
Madagascar,Madagascar,1000 ha,3600,,
Malawi,Malawi,1000 ha,3800,,
Malaysia,Malaysia,1000 ha,8286,,
Maldives,Maldives,1000 ha,6.9,,
Mali,Mali,1000 ha,6561,,
Malta,Malta,1000 ha,10.38,,
Marshall Islands,Marshall Islands,1000 ha,8.5,,
,Martinique,1000 ha,15.66,,
Mauritania,Mauritania,1000 ha,411,,
Mauritius,Mauritius,1000 ha,79,,
,Mayotte,1000 ha,19.98,,
