Country for Scenarios,FAO Country,Unit,Value,,
Afghanistan,Afghanistan,1000 ha,30000,,
Albania,Albania,1000 ha,478.081,,
Algeria,Algeria,1000 ha,32841.83,,
Andorra,Andorra,1000 ha,18,,
Angola,Angola,1000 ha,51737.49,,
Antigua and Barbuda,Antigua and Barbuda,1000 ha,4,,
Argentina,Argentina,1000 ha,108500,,
Armenia,Armenia,1000 ha,1172.6,,
Australia,Australia,1000 ha,327589,,
Austria,Austria,1000 ha,1258.81,,
Azerbaijan,Azerbaijan,1000 ha,2426.6,,
Bahamas,Bahamas,1000 ha,2,,
Bahrain,Bahrain,1000 ha,4,,
Bangladesh,Bangladesh,1000 ha,600,,
Barbados,Barbados,1000 ha,2,,
Belarus,Belarus,1000 ha,2630,,
Belgium,Belgium,1000 ha,480,,
Belize,Belize,1000 ha,50,,
Benin,Benin,1000 ha,550,,
Bhutan,Bhutan,1000 ha,413,,
Bolivia,Bolivia (Plurinational State of),1000 ha,33000,,
Bosnia and Herzegovina,Bosnia and Herzegovina,1000 ha,1082,,
Botswana,Botswana,1000 ha,25600,,
Brazil,Brazil,1000 ha,173360.801,,
,British Virgin Islands,1000 ha,5,,
Brunei Darussalam,Brunei Darussalam,1000 ha,3.4,,
Bulgaria,Bulgaria,1000 ha,1399,,
Burkina Faso,Burkina Faso,1000 ha,6000,,
Burma,,,,,Myanmar?
Burundi,Burundi,1000 ha,483,,
,Cabo Verde,1000 ha,25,,
Cambodia,Cambodia,1000 ha,1500,,
Cameroon,Cameroon,1000 ha,2000,,
Canada,Canada,1000 ha,19342,,
,Cayman Islands,1000 ha,2,,
Cape Verde,,,,,Small Island
Central African Republic,Central African Republic,1000 ha,3200,,
Chad,Chad,1000 ha,45000,,
,Channel Islands,1000 ha,5.4,,
Chile,Chile,1000 ha,14015,,
China,China,1000 ha,392834,,
Colombia,Colombia,1000 ha,39600,,
Comoros,Comoros,1000 ha,15,,
Congo,Congo,1000 ha,10000,,
Cook Islands,,,,,Small Island
Costa Rica,Costa Rica,1000 ha,1200,,
Cote d'Ivoire,Côte d'Ivoire,1000 ha,13200,,
Croatia,Croatia,1000 ha,608,,
Cuba,Cuba,1000 ha,2738.4,,
Cyprus,Cyprus,1000 ha,1.592,,
Czech Republic,Czechia,1000 ha,990,,
Democratic Republic of the Congo,Democratic Republic of the Congo,1000 ha,18200,,
Denmark,Denmark,1000 ha,213,,
Djibouti,Djibouti,1000 ha,1700,,
Dominica,Dominica,1000 ha,2,,
Dominican Republic,Dominican Republic,1000 ha,1197,,
Ecuador,Ecuador,1000 ha,3094,,
Egypt,Egypt,1000 ha,NO DATA,,?????
El Salvador,El Salvador,1000 ha,625.12,,
Equatorial Guinea,Equatorial Guinea,1000 ha,104,,
Eritrea,Eritrea,1000 ha,6900,,
Estonia,Estonia,1000 ha,312,,
,Eswatini,1000 ha,1032,,
Ethiopia,Ethiopia,1000 ha,20000,,
,Falkland Islands (Malvinas),1000 ha,1141.6,,
Fiji,Fiji,1000 ha,175,,
Finland,Finland,1000 ha,24,,
France,France,1000 ha,9527.9,,
French Guiana,French Guyana,1000 ha,13.7,,
,French Polynesia,1000 ha,20,,
Gabon,Gabon,1000 ha,1717.64,,
Gambia,Gambia,1000 ha,160,,
Georgia,Georgia,1000 ha,1940,,
Germany,Germany,1000 ha,4713,,
Ghana,Ghana,1000 ha,7382.74,,
Greece,Greece,1000 ha,2882,,
Greenland,Greenland,1000 ha,243.11,,
Grenada,Grenada,1000 ha,1,,
,Guadeloupe,1000 ha,25.85,,
,Guam,1000 ha,8,,
Guatemala,Guatemala,1000 ha,1811,,
Guinea,Guinea,1000 ha,10700,,
Guinea-Bissau,Guinea-Bissau,1000 ha,265.11,,
Guyana,Guyana,1000 ha,781.25,,
Haiti,Haiti,1000 ha,490,,
Honduras,Honduras,1000 ha,1760,,
Hungary,Hungary,1000 ha,799,,
Iceland,Iceland,1000 ha,1751,,
India,India,1000 ha,10258,,
Indonesia,Indonesia,1000 ha,11000,,
Iran (Islamic Republic of),Iran (Islamic Republic of),1000 ha,29477,,
Iraq,Iraq,1000 ha,4000,,
Ireland,Ireland,1000 ha,4064,,
,Isle of Man,1000 ha,17.2,,
Israel,Israel,1000 ha,140,,
Italy,Italy,1000 ha,3245,,
Jamaica,Jamaica,1000 ha,229,,
Japan,Japan,1001 ha,428,,Data from 2000
Jordan,Jordan,1000 ha,742,,
Kazakhstan,Kazakhstan,1000 ha,186156.1,,
Kenya,Kenya,1000 ha,21300,,
Kiribati,,,,,Small Island
"Korea, Democratic People's Republic of",Democratic People's Republic of Korea,1000 ha,50,,
"Korea, Republic of",Republic of Korea,1000 ha,56,,
Kuwait,Kuwait,1000 ha,136,,
Kyrgyzstan,Kyrgyzstan,1000 ha,9176.3,,
Lao People's Democratic Republic,Lao People's Democratic Republic,1000 ha,675,,
Latvia,Latvia,1000 ha,635,,
Lebanon,Lebanon,1000 ha,400,,
Lesotho,Lesotho,1000 ha,2000,,
Liberia,Liberia,1000 ha,1254.04,,
Libyan Arab Jamahiriya,Libya,1000 ha,13300,,
Liechtenstein,Liechtenstein,1000 ha,3,,
Lithuania,Lithuania,1000 ha,796,,
Luxembourg,Luxembourg,1000 ha,67.705,,
Madagascar,Madagascar,1000 ha,37295,,
