Scenarios Country,FAO Country,Unit,Value
Afghanistan,Afghanistan,tonnes of N,46613.5
Albania,Albania,tonnes of N,24769.07
Algeria,Algeria,tonnes of N,70200
Andorra,,,
Angola,Angola,tonnes of N,21942.48
Antigua and Barbuda,Antigua and Barbuda,tonnes of N,8.59
Argentina,Argentina,tonnes of N,1160519.5
Armenia,Armenia,tonnes of N,90106.3
Australia,Australia,tonnes of N,1411216
Austria,Austria,tonnes of N,114347
Azerbaijan,Azerbaijan,tonnes of N,118933.89
Bahamas,Bahamas,tonnes of N,662.04
Bahrain,Bahrain,tonnes of N,3070.24
Bangladesh,Bangladesh,tonnes of N,1330580
Barbados,Barbados,tonnes of N,230.18
Belarus,Belarus,tonnes of N,404895
Belgium,Belgium,tonnes of N,170448.15
Belize,Belize,tonnes of N,10704.38
Benin,Benin,tonnes of N,48059.06
,Bermuda,tonnes of N,32.48
Bhutan,Bhutan,tonnes of N,2819.3
Bolivia,Bolivia (Plurinational State of),tonnes of N,14217.05
Bosnia and Herzegovina,Bosnia and Herzegovina,tonnes of N,69452.62
Botswana,Botswana,tonnes of N,21156
Brazil,Brazil,tonnes of N,5119757.21
Brunei Darussalam,Brunei Darussalam,tonnes of N,243
Bulgaria,Bulgaria,tonnes of N,334565
Burkina Faso,Burkina Faso,tonnes of N,56654.92
Burma,,,
Burundi,Burundi,tonnes of N,13456.65
Cambodia,Cambodia,tonnes of N,127788.34
Cameroon,Cameroon,tonnes of N,46509.16
Canada,Canada,tonnes of N,2769000
Cape Verde,,,
Central African Republic,Central African Republic,tonnes of N,86.18
Chad,,,
Chile,Chile,tonnes of N,263680.38
China,China,tonnes of N,28306383.54
,"China, Hong Kong SAR",tonnes of N,10174.78
,"China, Macao SAR",tonnes of N,0
,"China, mainland",tonnes of N,28141472
,"China, Taiwan Province of",tonnes of N,154736.76
Colombia,Colombia,tonnes of N,565241.52
Comoros,,,
Congo,Congo,tonnes of N,328.05
Cook Islands,Cook Islands,tonnes of N,11.7
Costa Rica,Costa Rica,tonnes of N,96211.93
Cote d'Ivoire,Côte d'Ivoire,tonnes of N,36966.42
Croatia,Croatia,tonnes of N,99420
