,Gt CO2e / year,,,,,,,,,,,,,
Scenario,Year,Net_energy,Gross_energy,LUC,Industry,CH4,N2O,PFC,HFC,SF6,CCS,AvoidNBS,SequesterNBS,Total
Sky - Original,2000,24.09302122,24.09302122,4.689424546,1.6231,8.682912,2.291182886,0.112683085,0.310272727,0.115129386,0,0,0,41.91772585
Sky - Original,2001,24.45827346,24.45827346,4.202296108,1.704,8.8419296,2.340412416,0.107910203,0.360945455,0.117912281,0,0,0,42.13367953
Sky - Original,2002,24.94166301,24.94166301,4.787961793,1.7849,9.0009472,2.389641946,0.103137321,0.411618182,0.120695175,0,0,0,43.54056463
Sky - Original,2003,26.10118838,26.10118838,4.970280229,1.8658,9.1599648,2.438871477,0.098364438,0.462290909,0.12347807,0,0,0,45.22023831
Sky - Original,2004,27.43309952,27.43309952,4.753373375,1.9467,9.3189824,2.488101007,0.093591556,0.512963636,0.126260965,0,0,0,46.67307246
Sky - Original,2005,28.36126644,28.36126644,4.326142374,2.0276,9.478,2.537330537,0.088818674,0.563636364,0.12904386,0,0,0,47.51183825
Sky - Original,2006,29.37557039,29.37557039,4.486942661,2.13472,9.6089056,2.560291275,0.081910555,0.586654545,0.135660965,0,0,0,48.97065599
Sky - Original,2007,30.38528095,30.38528095,3.844277673,2.24184,9.7398112,2.583252013,0.075002436,0.609672727,0.14227807,0,0,0,49.62141507
Sky - Original,2008,30.73434258,30.73434258,4.039060434,2.34896,9.8707168,2.606212752,0.068094317,0.632690909,0.148895175,0,0,0,50.44897297
Sky - Original,2009,30.36921789,30.36921789,5.567123363,2.45608,10.0016224,2.62917349,0.061186198,0.655709091,0.155512281,0,0,0,51.89562471
Sky - Original,2010,32.24626164,32.24626164,5.031582837,2.5632,10.132528,2.652134228,0.054278078,0.678727273,0.162129386,0,0,0,53.52084144
Sky - Original,2011,32.99797728,32.99797728,4.837876316,2.6061,10.12115776,2.740328683,0.059334463,0.635099818,0.159313509,0,0,0,54.15718782
Sky - Original,2012,33.49419088,33.49419088,5.051334209,2.649,10.10978752,2.828523137,0.064390847,0.591472364,0.156497632,0,0,0,54.94519658
Sky - Original,2013,33.78505254,33.78505254,5.161773587,2.6919,10.09841728,2.916717591,0.069447231,0.547844909,0.153681754,0,0,0,55.42483489
Sky - Original,2014,34.07749606,34.07749606,5.051844238,2.7348,10.08704704,3.004912046,0.074503616,0.504217455,0.150865877,0,0,0,55.68568633
Sky - Original,2015,33.93997486,33.93997486,5.565951351,2.7777,10.0756768,3.0931065,0.07956,0.46059,0.14805,0,0,0,56.14060951
Sky - Original,2016,33.89174162,33.89174162,5.067004752,2.801939997,10.08933016,3.1147994,0.0738582,0.419562,0.14664,0,0,0,55.60487613
Sky - Original,2017,34.30693799,34.30693799,5.000253564,2.826179993,10.10298352,3.1364923,0.0681564,0.378534,0.14523,0,-0.066751188,0,55.96476777
Sky - Original,2018,34.33811634,34.33811634,4.933502376,2.85041999,10.11663688,3.1581852,0.0624546,0.337506,0.14382,0,-0.133502376,0,55.94064139
Sky - Original,2019,34.64345107,34.64345107,4.866751188,2.874659986,10.13029024,3.1798781,0.0567528,0.296478,0.14241,0,-0.200253564,0,56.19067139
