project_ID,notes,buffer_included,buffer_perc,start_year,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25,Year 26,Year 27,Year 28,Year 29,Year 30,Year 31,Year 32,Year 33,Year 34,Year 35,Year 36,Year 37,Year 38,Year 39,Year 40,Year 41,Year 42,Year 43,Year 44,Year 45,Year 46,Year 47,Year 48,Year 49,Year 50,Year 51,Year 52,Year 53,Year 54,Year 55,Year 56,Year 57,Year 58,Year 59,Year 60,Year 61,Year 62,Year 63,Year 64,Year 65,Year 66,Year 67,Year 68,Year 69,Year 70,Year 71,Year 72,Year 73,Year 74,Year 75,Year 76,Year 77,Year 78,Year 79,Year 80,Year 81,Year 82,Year 83,Year 84,Year 85,Year 86,Year 87,Year 88,Year 89,Year 90,Year 91,Year 92,Year 93,Year 94,Year 95,Year 96,Year 97,Year 98,Year 99,Year 100,Year 101,,,,,
VCS142,"Reported in PDD as ""Net anthropogenic GHG removals by sinks"" - Table A.4.6. on page 23. Note that sum of ERs do not quite match overall sum in PDD table, presumably due to rounding.",1,10,2002,39481,46122,44434,76820,64751,109255,137291,120499,159819,229431,80457,396236,527580,685675,529791,665023,357574,382913,227323,300387,-90245,-233399,-295709,-293312,-457039,-267167,262163,290785,253379,21197,-281489,-301237,-154255,1307,-68242,-158156,-165295,-122230,-319643,16904,463385,639707,429419,549205,208169,175935,251481,138753,-333659,-553045,-441706,-766056,-958706,-667246,81807,340627,451422,624448,338583,347018,388878,422824,-132437,-204123,-265666,-238048,-469048,-190073,487543,478073,186004,229559,62172,-296808,-250185,-261326,-514015,-503203,-243663,-162805,-338633,-18991,624939,762144,387226,578481,238211,231200,239473,215847,-108279,-365757,-509081,-557694,-615045,-662816,-14123,-86180,-224107,,,,,,,
VCS514,"Reported in PDD as ""Ex ante baseline net GHG removals by sinks""  - Table 8 on page 39. Values here are differences between years.",,,2008,1816,1857,1898,1938,1978,2017,2055,2093,2130,2167,2203,2239,2274,2309,2343,2377,2411,2444,2476,2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS562,No clear annual ERs listed in PDD. There is a table on page 52 titled Baseline Emissions- but unsure whether that can be used to calculate.  Buffer  listed on page 63.  PDD Mentions a spreadsheet is available with actual annual numbers but unable to locate it.,n/a,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS576,Reported in PDD as cumulative removals - Table 23 on page 105. Values here are differences between years.,1,30,2002,1772,8262,14582,19167,22383,24392,26903,29875,32208,34332,40564,53987,74021,98525,124908,150107,171610,187871,195934,196214,-7616,188294,160305,131180,165837,78667,47730,103719,129690,-115502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS587,No clear annual ERs listed in PDD. Possible to calculate using tables in Appendix 2 but not easy or obvious.,1,15,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS594,"Reported in PDD as Net Project GHG Removals on table 4.4, Page 50.",0,n/a,2004,746,3795,10374,16119,17672,17301,16143,16033,16948,17140,17142,17147,16960,14615,10332,10719,14994,15907,15916,15916,15916,15916,15916,15916,15914,15895,15897,15907,15912,15912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS595,"Reported in PDD as ""Net Project GHG Removals (t CO2e)"" on Table 4.4, Page 50. ",0,n/a,2004,909,3633,7967,12225,14707,15166,15037,15183,15331,15367,15344,15298,14855,13647,13074,13907,14631,14919,14930,14930,14930,14930,14930,14930,14926,14877,14835,14760,14833,14884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS596,"Reported in PDD as ""Net Project GHG Removals (t CO2e)"" on Table 4.4, Page 50. ",0,n/a,2004,375,1938,5638,11163,14877,16172,16362,16235,16373,16455,16427,16424,16307,15591,15013,14689,15469,16095,16125,16125,16125,16125,16125,16125,16106,16008,15953,15960,16003,16086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS597,"Reported in PDD as ""Net Project GHG Removals (t CO2e)"" on Table 4.4, Page 50. ",0,n/a,2004,83,1873,6124,11524,14896,16034,16035,15784,16079,16096,15718,15440,15568,14359,13781,13065,14591,15262,15458,15458,15458,15458,15458,15458,15438,15216,14481,14053,14474,14980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS605,"No clear annual ERs listed in PDD. Buffer Listed on page 18.  May be able to calculate based on Appendix 1,  Need to check with Andy",n/a,10,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS607,"Reported in PDD as ""Net Change (Emissions) Reductions (tCO2e). It is to be noted that the years are reported in 1,2,3 etc. instead of in the actual year. Start year is unclear. On table 17, Page 95.   Buffer listed on page 97.",0,10,2008,317823,331727,439461,244640,350526,436976,428733,439273,401630,435754,403159,452612,413921,430528,440911,290837,131601,126403,243925,134467,637340,584004,793296,489210,408244,586941,595896,450799,371619,206087,51151,376773,696866,535755,566518,415474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS612,No clear annual ERs listed in PDD. Buffer listed on page 70.  ,n/a,20,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS632,"Only 1 document available, and no clear annual Ers listed in that PDD.",n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS634,"Reported in PDD as ""Estimated amount of emission reductions over the crediting period including project size"" on Table 1.3 on page 6. ",0,n/a,2007,8803,8201,8201,8201,8201,8201,8201,8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS641,"Reported in PDD as ""Estimated GHG emission reductions or removals (tCO2e)"" on Table No. 2, Page number 4.",0,n/a,2012,2054,40235,958,29504,476,471,473,460,17705,52,48,76,97,92,118,122,39984,-471,-441,-398,-369,-330,-310,-286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS642,"Reported in PDD as ""Estimated amount of emission reductions over the crediting period including project size"" on Table 1.3 on page 6. ",0,n/a,2008,9812,10341,10341,10341,10341,10341,10341,10341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS647,"Reported in PDD as ""Annual avoided emissions 2005 to 2029 in mtCO2e"" under the ""Net Total"" column, on table 2, page 22",1,15,2005,6745,12645,19132,26260,34083,42665,52073,60222,70643,52324,44943,47745,50723,53889,57254,60832,64634,68677,72974,77541,82397,87558,93045,98877,105077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS658,Reported in PDD as annual removals - Table 35 on page 81.,1,10,2008,-930,1377,13835,41850,46313,7603,-17922,-23179,-9673,199,7817,14060,17994,22184,-3815,-35869,17552,19574,21651,23777,25947,28154,30396,32666,34960,37276,39608,41954,44310,46673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS665,"Reported in PDD as ""Annual estimation of net anthropogenic GHG removals by sinks in tonnes of CO2 e"" on Table 7, page 46.",0,n/a,2000,9497,12391,15593,16614,16614,16614,16959,16959,16959,16959,16959,16959,16959,16959,16959,16959,16959,18178,17032,17032,22722,15444,16021,15625,14944,14944,15186,14956,14956,14956,14956,14956,14956,14956,14956,14956,14956,14956,14956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS672,"Reported in PDD as ""net GHG emission reductions for the IFM project"" - Table 4.4.1. on page 88. Column stated as Annual delta C IFM.",1,10,2007,810689,11707,11738,14266,38483,36667,42151,48329,95136,110984,123883,138480,150150,110722,111167,112854,113740,117120,122523,122265,122153,120951,119205,116118,112790,140876,180691,220996,261856,301719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS673,"Reported in PDD as ""Annual estimation of cumulative baseline net anthropogenic GHG removals by sinks; in t CO2-e"" on Table 4.2.1 on page 62. ",0,10,1995,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,164.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS674,"Reported in PDD as ""Total Gross Cumulative Co2e emissions (tCO2e) on Table 23 on page 108. It is to be noted that the years are reported in 1, 2, 3, etc. instead of the actual year. The actual years are unclear. ",0,20,1,2462212,3654181,3592610,4124970,5362570,5038330,4279896,4138969,4026336,3980329,3986446,4028250,4091860,4166790,4245653,4323539,4397397,4465502,4527047,4581832,4630041,4672082,4708486,4739829,4766691,4789628,4809154,4825734,4839784,4851670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS687,"Reported in PDD as ""C ARR discounting buffer"" - Table 20 on page 75.",1,10,2008,0,4.53,174.7,1837.31,7783.6,18346.37,29601.65,39476.14,46080.4,49965.71,51787.12,52141.66,50237.65,50139.94,48426.92,46489.6,44484.44,42383.58,40347.69,38369.14,36461.65,34654.25,32940.78,31327,29759.35,28349.38,26958.09,25668.99,24514.99,23406.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS689,"Reported in PDD as ""Esimation of net anthropofenic GHG removals by sinks (tonnes of CO2e)"" on Table 1, page 4. Adjacent to this column is Cumulative net anthropogenic GHG removals by sinks (tonnes of CO2e). The years are also listed in ranges, e.g. 2002-03. ",0,n/a,2003,7519,5424,6471,15016,10914,11141,5222,10580,10580,-36581,10949,8854,3499,15016,10914,11141,5222,10580,10580,-36581,10949,8854,3499,15016,10914,11141,5222,10580,10580,-36581,10949,8854,3499,15016,10914,11141,5222,10580,10580,-36581,10949,8854,3499,15016,10914,11141,5222,10580,10580,-36581,10949,8854,3499,15016,10914,11141,5222,10580,10580,-36581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS720,No clear annual Ers listed in PDD ,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCS721,No clear annual Ers listed in PDD ,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
