project_ID,NBS_group,NBS_activity,NBS_group2,NBS_activity2,methodology,registry,LU,area,directArea,credit_length,totalERs,coords,mulitpleLocations,LUCdate,previousLU,KML,costs_deploy,costs_deploy_detail,costs_manage,costs_manage_detail,costs_monitor,costs_monitor_detail,LAT,LON,description,notes,project_name,project_proponent,validator,validation_date,verfier1,verification_date1,country,sectoral_scope,estimated_annual_emission_reductions,active_CCB_status,CCB_yes,reference,shell_review,shell_review_date,shell_review_person,shell_decision,shell_reason,shell_volume_date,shell_volume_purchase,shell_volume_retired
VCS142,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-AM0005,APX,Mixed,10800.00,1,99,2439183.67,"-8.404683, 35.963707",1,1960,Fallow,1,,,,,,,-8.404683, 35.963707,"The project plants trees on 10,800 ha of grasslands in the poverty stricken south-west region of Tanzania. The total area covers 18,379 ha and aims to reduce GHG emissions by ",Afforest grazed lands,"Reforestation of degraded grasslands in Uchindile & Mapanda, Tanzania",GREEN RESOURCES,T‹V S‹D Industrie Service GmbH,2009-07-17,T‹V S‹D Industrie Service GmbH,2010-08-04,Tanzania,"14. Agriculture, Forestry, Land Use",25000,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/20816,0,,,,,,,
VCS514,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,APX,Rubber,2252.23,1,42,3900439.00,"14.467485, -91.299159",1,,Grazing,1,,,,,,,14.467485, -91.299159,"The project will establish rubber tree plantations in a project boundary of 2,366.16 hectares (2252.23 ha of effective planted area) of degraded and degrading lands where the traditional use has been cattle grazing, which corresponds to eligible area. ",Commercial plantations on degraded land,Promoting Sustainable Development through Natural Rubber Tree Plantations in Guatemala,"PICA DE HULE NATURAL, S.A.","Rainforest Alliance, Inc.",2010-10-26,"Rainforest Alliance, Inc.",2011-04-01,Guatemala,"14. Agriculture, Forestry, Land Use",46434,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/23908,1,,,HOLD,,,,
VCS562,Forest,AvoiForest_REDD,Forest,REDD,VM0009,Markit,Hardwoods,30169.00,1,30,7542960.00,"-3.658708, 38.759121",1,NA,NONE,1,,,,,,,-3.658708, 38.759121,"WWC's first project at Rukinga, Kenya, has been operating since 2005 protecting local wildlife and forests.†",Avoided deforestation,The Kasigau Corridor REDD Project ‚Äì Phase I Rukinga Sanctuary,Wildlife Works Carbon LLC,,,,,Kenya,"14. Agriculture, Forestry, Land Use",251432,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/22904,0,,,,,,,
VCS576,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-AM0005,APX,Hardwoods,10870.00,1,30,2389921.00,"7.559724, -75.271251",1,2002,Grazing,1,,,,,,,7.559724, -75.271251,"The A/R project activity proposes to reforest ~ 1,230 ha in the area of C·ceres/Antioquia and ~ 9,640 ha in Cravo Norte/Arauca",Reforest degraded land,"Restoration of degraded areas and reforestation in C√°ceres and Cravo Norte, Colombia",Asorpar Ltd.,Environmental Services Inc,2011-02-24,Environmental Services Inc,2011-08-09,Colombia,"14. Agriculture, Forestry, Land Use",80000,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6105,0,,,,,,,
VCS587,Forest,AvoiForest_REDD,Forest,REDD,VM0010,Markit,Hardwoods,7666.00,1,25,1388731.00,"-42.485126, 147.092490",1,NA,NONE,1,,,,,,,-42.485126, 147.092490,"The project is designed to protect 7 666 hectares of native Tasmanian forest which would, if not for the project, continue to undergo selective logging or be clear-felled and converted to pasture.",Avoided deforestation,Protection of a Tasmanian Native Forest (Project 3: Peter Downie),Peter Downie,SCS Global Services,2011-03-18,SCS Global Services,2011-09-08,Australia,"14. Agriculture, Forestry, Land Use",73856,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6206,0,,,,,,,
VCS594,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,353.90,1,30,441022.00,"0.073978, 37.662457",1,,,1,,,,,,,0.073978, 37.662457,"This TIST project is for a subset of the reforestation project in Kenya and applies to 117 of the Small Groups, 853 members, 484 project areas and 353.9 ha.",TIST afforestation,"TIST Program in Kenya, VCS 001",Clean Air Action Corporation,Environmental Services Inc,2011-03-02,Environmental Services Inc,2011-04-11,Kenya,"14. Agriculture, Forestry, Land Use",14701,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6293,1,,,Approved,,,,
VCS595,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,398.10,1,30,409891.00,"0.142604, 37.693763",1,,,1,,,,,,,0.142604, 37.693763,"This TIST project is for a subset of the reforestation project in Kenya and applies to 296 of the Small Groups, 2,283 members, 1,051 project areas and 398.1 ha. ",TIST afforestation,"TIST Program in Kenya, VCS 002",Clean Air Action Corporation,Environmental Services Inc,2011-03-02,Environmental Services Inc,2011-04-11,Kenya,"14. Agriculture, Forestry, Land Use",13663,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/21931,1,,,Approved,,,,
VCS596,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,421.50,1,30,434464.00,"0.021385, 37.644353",1,,,1,,,,,,,0.021385, 37.644353,"This TIST project is a subset of the reforestation project in Kenya and applies to 350 of the Small Groups, 2,632 members, 1,483 project areas and 421.5 ha.",TIST afforestation,"TIST Program in Kenya, VCS 003",Clean Air Action Corporation,Environmental Services Inc,2011-03-02,Environmental Services Inc,2011-04-11,Kenya,"14. Agriculture, Forestry, Land Use",14482,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/24877,1,,,Approved,,,,
VCS597,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,391.60,1,30,413699.00,"-0.137960, 36.816197",1,,,1,,,,,,,-0.137960, 36.816197,"This TIST project is for a subset of the reforestation project in Kenya and applies to 315 of the Small Groups, 2,279 members, 1,246 project areas and 391.6 ha. ",TIST afforestation,"TIST Program in Kenya, VCS 004",Clean Air Action Corporation,Environmental Services Inc,2011-03-02,Environmental Services Inc,2011-04-11,Kenya,"14. Agriculture, Forestry, Land Use",13790,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6317,1,,,Approved,,,,
VCS605,Forest,AvoiForest_REDD,Forest,REDD,VM0010,Markit,Eucalyptus,865.00,1,25,173638.00,"-41.833333, 146.983333",0,NA,NONE,1,,,,,,,-41.833333, 146.983333,"The project proposes a way to provide comparable income for private landowners to stop selective logging and promote regrowth of native Eucalyptus forest over a total area of 865 ha, of which 790 ha are currently open to logging. Over the 25 years it aims to prevent annual emissions of 6,946 tCO2-e.",Stop logging and select native regrowth,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,MULTIPLE PROJECT PROPONENTS,SCS Global Services,2011-03-18,Environmental Services Inc,2011-09-01,Australia,"14. Agriculture, Forestry, Land Use",4956,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6398,0,,,,,,,
