Country,Land Year,Land Area,Population Year,Population,Coastline Length,MAT Year,MAT
Afghanistan,2018,65286,2018,37171.921,0,2011,12.6
Albania,2018,2740,2018,2882.74,362,2011,11.4
Algeria,2018,238174.1,2018,42228.408,998,2011,22.5
American Samoa,2018,20,2018,55.465,116,2011,24.4
Andorra,2018,47,2018,77.006,0,2011,7.6
Angola,2018,124670,2018,30809.787,"1,600.00",2011,21.55
Anguilla,2018,9,2018,14.731,61,,
Antigua and Barbuda,2018,44,2018,96.286,153,2011,26
Argentina,2018,273669,2018,44361.15,"4,989.00",2011,14.8
Armenia,2018,2847,2018,2951.745,0,2011,7.15
Aruba,2018,18,2018,105.845,68.5,2011,25.35
Australia,2018,769202,2018,24898.152,"25,957.00",2011,21.65
Austria,2018,8252,2018,8891.388,0,2011,6.35
Azerbaijan,2018,8265.4,2018,9949.537,0,2011,11.95
Bahamas,2018,1001,2018,385.637,"3,542.00",2011,24.85
Bahrain,2018,78,2018,1569.446,161,2011,27.15
Bangladesh,2018,13017,2018,161376.708,580,2011,25
Barbados,2018,43,2018,286.641,97,2011,26
Belarus,2018,20298,2018,9452.617,0,2011,6.15
Belgium,2018,3028,2018,11482.178,66.5,2011,9.55
Belize,2018,2281,2018,383.071,386,2011,25.3
Benin,2018,11276,2018,11485.044,121,2011,27.55
Bermuda,2018,5.4,2018,62.756,103,2011,21.3
Bhutan,2018,3814,2018,754.388,0,2011,7.4
Bolivia,2018,108330,2018,11353.142,0,2011,21.55
Bosnia and Herzegovina,2018,5120,2018,3323.925,20,2011,9.85
Botswana,2018,56673,2018,2254.068,0,2011,21.5
Brazil,2018,835814,2018,209469.323,"7,491.00",2011,24.95
British Virgin Islands,2018,15,2018,29.802,80,,
Brunei Darussalam,2018,527,2018,428.963,161,2011,26.85
Bulgaria,2018,10856,2018,7051.608,354,2011,10.55
Burkina Faso,2018,27360,2018,19751.466,0,2011,28.25
Burundi,2018,2568,2018,11175.374,0,2011,19.8
Cape Verde,2018,403,2018,543.767,965,2011,23.3
Cambodia,2018,17652,2018,16249.792,443,2011,26.8
Cameroon,2018,47271,2018,25216.267,402,2011,24.6
Canada,2018,896559,2018,37074.562,"202,080.00",2011,-5.35
Cayman Islands,2018,24,2018,64.174,160,2011,25.2
Central African Republic,2018,62298,2018,4666.368,0,2011,24.9
Chad,2018,125920,2018,15477.729,0,2011,26.55
Channel Islands,2018,19.8,2018,170.499,,,
Chile,2018,74353.2,2018,18729.16,"6,435.00",2011,8.45
Hong Kong,2018,105,2018,7371.73,733,2011,22.65
Macau,2018,3.29,2018,631.636,41,2011,22.8
China,2018,938821,2018,1427647.786,"14,500.00",2011,6.95
Taiwan,2018,3541,2018,23726.46,"1,566.30",,
Colombia,2018,110950,2018,49661.048,"3,208.00",2011,24.5
Comoros,2018,186.1,2018,832.322,340,2011,25.55
Congo,2018,34150,2018,5244.359,169,2011,24.55
Cook Islands,2018,24,2018,17.518,120,,
Costa Rica,2018,5106,2018,4999.441,"1,290.00",2011,24.8
Cote d'Ivoire,2018,31800,2018,25069.23,515,2011,26.35
Croatia,2018,5659,2018,4156.405,"5,835.00",2011,10.9
Cuba,2018,10380,2018,11338.134,"3,735.00",2011,25.2
Cyprus,2018,924,2018,1189.265,648,2011,18.45
Czech Republic,2018,7720,2018,10665.677,0,2011,7.55
"Korea, Democratic People's Republic of",2018,12041,2018,25549.604,"2,495.00",2011,5.7
Democratic Republic of the Congo,2018,226705,2018,84068.091,37,2011,24
Denmark,2018,4000,2018,5752.126,"7,314.00",2011,7.5
Djibouti,2018,2318,2018,958.923,314,2011,28
Dominica,2018,75,2018,71.625,148,2011,22.35
Dominican Republic,2018,4831,2018,10627.141,"1,288.00",2011,24.55
Ecuador,2018,24836,2018,17084.358,"2,237.00",2011,21.85
Egypt,2018,99545,2018,98423.598,"2,450.00",2011,22.1
El Salvador,2018,2072,2018,6420.746,307,2011,24.45
Equatorial Guinea,2018,2805,2018,1308.975,296,2011,24.55
Eritrea,2018,10100,2018,3452.786,"2,234.00",2011,25.5
Estonia,2018,4347,2018,1322.92,"3,794.00",2011,5.1
Swaziland,2018,1720,2018,1136.281,0,2011,21.4
Ethiopia,2018,112930.039,2018,109224.414,0,2011,22.2
Falkland Islands (Malvinas),2018,1217,2018,3.234,"1,288.00",,
Faroe Islands,2018,139.6,2018,48.497,"1,117.00",2011,6.1
Fiji,2018,1827,2018,883.483,"1,129.00",2011,24.4
Finland,2018,30392,2018,5522.576,"1,250.00",2011,1.7
France,2018,54755.7,2018,64990.511,"3,427.00",2011,10.7
French Polynesia,2018,352,2018,277.679,"2,525.00",2011,24.4
Gabon,2018,25767,2018,2119.275,885,2011,25.05
Gambia,2018,1012,2018,2280.094,80,2011,27.5
Georgia,2018,6949,2018,4002.942,310,2011,5.8
Germany,2018,34938,2018,83124.418,"2,389.00",2011,8.5
Ghana,2018,22754,2018,29767.102,539,2011,27.2
