Country,ISO3,NBS_desc,Griscom 2017 potential,Griscom 2020 potential,GRISCOM DIFF,TNC mapper potential,IPCC_climate_zone,baseline_landuse,country_land_area,total_area,total_area_max,total_area_min,extent,extent_max,extent_min,extent_notes,intensity_desc,intensity_raw,intensity_raw_max,intensity_raw_min,intensity_unit,intensity,intensity_max,intensity_min,intensity_notes,BD_potential,potential,potential_100,potential_10
Afghanistan,AFG,Agroforestry,,,,0.06,,GRISCOM,65.286,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.06,0.025326,0
Albania,ALB,Agroforestry,,,,0.85,,GRISCOM,2.74,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.85,0.358785,0
Algeria,DZA,Agroforestry,,,,10.06,,GRISCOM,238.1741,NA,,,NA,,,,,,,,,1.356666667,,,,0,10.06,4.246326,0
Andorra,AND,Agroforestry,,,,0,,GRISCOM,0.047,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Angola,AGO,Agroforestry,,21.77,,2.77,,GRISCOM,124.67,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.77,1.169217,0
Antigua and Barbuda,ATG,Agroforestry,,,,0,,GRISCOM,0.044,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Argentina,ARG,Agroforestry,,,,77.78,,GRISCOM,273.669,NA,,,NA,,,,,,,,,1.356666667,,,,0,77.78,32.830938,0
Armenia,ARM,Agroforestry,,,,1.9,,GRISCOM,2.847,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.9,0.80199,0
Australia,AUS,Agroforestry,,,,86.28,,GRISCOM,769.202,NA,,,NA,,,,,,,,,1.356666667,,,,0,86.28,36.418788,0
Austria,AUT,Agroforestry,,,,3.06,,GRISCOM,8.252,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.06,1.291626,0
Azerbaijan,AZE,Agroforestry,,,,1.49,,GRISCOM,8.2654,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.49,0.628929,0
Bahamas,BHS,Agroforestry,,,,0.14,,GRISCOM,1.001,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.14,0.059094,0
Bahrain,BHR,Agroforestry,,,,0,,GRISCOM,0.078,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Bangladesh,BGD,Agroforestry,,2,,10.13,,GRISCOM,13.017,NA,,,NA,,,,,,,,,1.356666667,,,,0,10.13,4.275873,0
Barbados,BRB,Agroforestry,,,,0,,GRISCOM,0.043,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Belarus,BLR,Agroforestry,,,,12.74,,GRISCOM,20.298,NA,,,NA,,,,,,,,,1.356666667,,,,0,12.74,5.377554,0
Belgium,BEL,Agroforestry,,,,1.96,,GRISCOM,3.028,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.96,0.827316,0
