Country,1990,2000,2010,2015,2016,2017,2018,2019,2020,FAOshort,Most recent data,Most recent year,GFW ArcMap dataset,Combined,Missing countries
Afghanistan,,,,,1208.44,,,,,Afghanistan,1208.44,2016,,1208.44,
Albania (Desk study),,,711.68,,,,,,,Albania,711.68,2010,,711.68,
Algeria,1334,1234,1420,1400,1435,1437,1502,1438,1439,Algeria,1439,2020,,1439,
American Samoa,,,,,,,,,,,#N/A,#N/A,,NA,American Samoa
Andorra,16,16,16,16,16,16,16,16,16,Andorra,16,2020,,16,
Angola,,,,68541.86,,,,,,Angola,68541.86,2015,,68541.86,
Anguilla (Desk study),,,,,,,,,,,#N/A,#N/A,,NA,Anguilla (Desk study)
Antigua and Barbuda (Desk study),0,,,,,,,,,Antigua and Barbuda,0,2020,,0,
Argentina,34438,32302,29027,27812,27695,27555,27416,27276,27137,Argentina,27137,2020,,27137,
Armenia,321,322,310,310,310,310,310,310,310,Armenia,310,2020,,310,
Aruba (Desk study),0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,,0.42,2020,,0.42,
Australia,132859.3,130329.4,127378.2,130676.7,131614.8,131614.8,131614.8,,,Australia,131614.8,2018,,131614.8,
Austria,2036.6,2154.3,2183.7,2206.5,2210.7,2214.9,2219.1,2223.3,2227.5,Austria,2227.5,2020,,2227.5,
Azerbaijan,,,743.4,754.52,793.86,800.94,809.36,,,Azerbaijan,809.36,2018,,809.36,
Bahamas,509.86,509.86,509.86,509.86,509.86,509.86,509.86,509.86,509.86,Bahamas,509.86,2020,,509.86,
Bahrain (Desk study),0,0,0,0,0,0,0,0,0,Bahrain,0,2020,,0,
Bangladesh,,1845.16,1816.41,1725.33,,,,,,Bangladesh,1725.33,2015,,1725.33,
Barbados,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,Barbados,6.3,2020,,6.3,
Belarus,6576.43,6413.23,6483.72,6421.6,6516.52,6522.14,,,,Belarus,6522.14,2017,,6522.14,
Belgium,231.1,259.2,283.4,251.2,251.2,251.2,251.2,251.2,251.2,Belgium,251.2,2020,,251.2,
Belize,1597.97,1457.13,1389.11,1330.5,1319.33,1308.17,1297,1285.83,1274.67,Belize,1274.67,2020,,1274.67,
Benin,4822.53,4118.78,3615.15,3363.15,3316.15,3266.15,3215.15,3163.15,3112.15,Benin,3112.15,2020,,3112.15,
Bermuda (Desk study),,,,,,,,,,,#N/A,#N/A,,NA,Bermuda (Desk study)
Bhutan,,,2685.54,,2696.78,,,,,Bhutan,2696.78,2016,,2696.78,
Bolivia (Plurinational State of),57784.72,55066.33,53035.88,51970.27,51690.43,51429.66,51190.64,50971.16,50771.16,Bolivia (Plurinational State of),50771.16,2020,,50771.16,
"Bonaire, Sint Eustatius and Saba (Desk study)",1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,,1.91,2020,,1.91,
Bosnia and Herzegovina (Desk study),,,,2041.19,2057.2,,,,,Bosnia and Herzegovina,2057.2,2016,,2057.2,
Botswana,,,,,15727.9,,,,,Botswana,15727.9,2016,,15727.9,
Brazil,585339.9,547436.4,504252.4,493946.8,492058.9,490251.9,488548,486935,485396,Brazil,485396,2020,,485396,
British Virgin Islands (Desk study),,,,,,,,,,,#N/A,#N/A,,NA,British Virgin Islands (Desk study)
Brunei Darussalam,412,396,376.29,374.91,374.79,374.74,374.74,374.74,374.74,Brunei Darussalam,374.74,2020,,374.74,
Bulgaria,2295,2442,2920,3009,3024,3047,3070,3093,3116,Bulgaria,3116,2020,,3116,
Burkina Faso,7702.6,7148.2,6593.8,6316.6,6261.1,6205.7,6150.2,6094.8,6039.3,Burkina Faso,6039.3,2020,,6039.3,
Burundi,115.1,80.97,80.97,166.67,166.67,166.67,166.67,166.67,166.67,Burundi,166.67,2020,,166.67,
Cabo Verde,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,13.68,Cabo Verde,13.68,2020,,13.68,
Cambodia,10937.5,10681.09,10434.7,8302.55,8134.92,7967.29,7799.66,7632.03,7464.4,Cambodia,7464.4,2020,,7464.4,
Cameroon,22481.9,21576.39,20859.38,20569.38,20511.38,20453.38,20395.38,20337.38,20279.38,Cameroon,20279.38,2020,,20279.38,
Canada,343654.68,338415.86,333306.46,331086.98,330621.3,330157.15,329693.01,329228.85,328764.71,Canada,328764.71,2020,,328764.71,
Cayman Islands (Desk study),,,,,,,,,,,#N/A,#N/A,,NA,Cayman Islands (Desk study)
Central African Republic,23201,22901,22601,22451,22421,22391,22361,22331,22301,Central African Republic,22301,2020,,22301,
Chad,6719,6339,5513,4872,4750,4632,4516,4403,4293,Chad,4293,2020,,4293,
Chile,13599.75,13538.92,13894.87,14550.31,14662.93,14753.71,14844.48,14935.26,15026.03,Chile,15026.03,2020,,15026.03,
China,112988.6,122170.29,127286.23,131284.06,132214.56,132981.39,133748.22,134515.05,135281.88,China,135281.88,2020,,135281.88,
Colombia,64861.14,62569.8,60426.49,59710.66,59532.09,59312.37,59113.08,58913.8,58714.51,Colombia,58714.51,2020,,58714.51,
Comoros,42.55,39.27,36,34.35,34.02,33.69,33.37,33.04,32.71,Comoros,32.71,2020,,32.71,
Congo,22255.5,22135.5,22015.5,21955.5,21943.5,21931.5,21916.5,21901.5,21886.5,Congo,21886.5,2020,,21886.5,
Cook Islands,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,14.4,Cook Islands,14.4,2020,,14.4,
Costa Rica,2880.8,2810.62,2804.2,2876.43,2890.8,2905.17,2919.53,2933.9,2948.27,Costa Rica,2948.27,2020,,2948.27,
Côte d'Ivoire,7844.16,5080.5,3951.3,3387.2,3274.31,3161.42,3048.53,2935.65,2822.76,Côte d'Ivoire,2822.76,2020,,2822.76,
Croatia,,,,,1849.29,1858.34,,,,Croatia,1858.34,2017,,1858.34,
Cuba,1711,2093,2436,2656,2706,2709.34,2709.34,2709.34,2709.34,Cuba,2709.34,2020,,2709.34,
Curaçao (Desk study),,,,,,,,,,,#N/A,#N/A,,NA,Curaçao (Desk study)
Cyprus,136.77,144.05,142.17,141.56,140.34,139.65,,,,Cyprus,139.65,2017,,139.65,
Czechia,31.07,47.24,87.73,114.96,119.77,124.24,128.71,133.19,137.66,Czechia,137.66,2020,,137.66,
Democratic People's Republic of Korea (Desk study),5782.03,5399.46,5221.86,5132.5,5114.57,5096.63,5078.68,5060.72,5042.75,Democratic People's Republic of Korea,5042.75,2020,,5042.75,
Democratic Republic of the Congo,150573.5,143842.3,137111.3,131604.4,130503,129401.7,128300.3,127198.9,126097.5,Democratic Republic of the Congo,126097.5,2020,,126097.5,
Denmark,,,139.53,164.73,170.59,182.05,,,,Denmark,182.05,2017,,182.05,
Djibouti,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,Djibouti,5.6,2020,,5.6,
Dominica,49.5,47.06,47.06,47.06,47.06,47.06,47.06,47.06,47.06,Dominica,47.06,2020,,47.06,
Dominican Republic,,,,1969.77,,,,,,Dominican Republic,1969.77,2015,,1969.77,
Ecuador,14587.77,13660.35,12943.37,12692.28,12631.18,12570.09,12508.99,12447.89,12386.79,Ecuador,12386.79,2020,,12386.79,
Egypt,0,0,0,0,0,0,0,0,0,Egypt,0,2020,,0,
El Salvador,708.96,661.4,613.83,590.05,585.3,580.54,575.78,571.03,566.27,El Salvador,566.27,2020,,566.27,
Equatorial Guinea,2699.16,2490.58,2407.01,2365.22,2356.86,2348.5,2340.15,2331.79,2323.43,Equatorial Guinea,2323.43,2020,,2323.43,
