FAOshort,ISO3,Seagrass area (km2),Seagrass area 2010 (ha),restorable,protectable
Afghanistan,AFG,#N/A,,,
Albania,ALB,44.02027424,4402,806,658
Algeria,DZA,40.48319885,4048,742,605
Andorra,AND,#N/A,,,
Angola,AGO,592.8570569,59286,10846,8861
Antigua and Barbuda,ATG,249.6354793,24964,4568,3731
Argentina,ARG,#N/A,,,
Armenia,ARM,#N/A,,,
Australia,AUS,62839.45746,6283946,1149506,939229
Austria,AUT,#N/A,,,
Azerbaijan,AZE,#N/A,,,
Bahamas,BHS,2261.167301,226117,41364,33796
Bahrain,BHR,535.7457705,53575,9801,8007
Bangladesh,BGD,#N/A,,,
Barbados,BRB,89.62935458,8963,1641,1339
Belarus,BLR,#N/A,,,
Belgium,BEL,#N/A,,,
Belize,BLZ,4894.683814,489468,89538,73158
Benin,BEN,1342.76178,134276,24564,20069
Bhutan,BTN,#N/A,,,
Bolivia (Plurinational State of),BOL,#N/A,,,
Bosnia and Herzegovina,BIH,#N/A,,,
Botswana,BWA,#N/A,,,
Brazil,BRA,426.4815501,42648,7803,6374
Brunei Darussalam,BRN,#N/A,,,
Bulgaria,BGR,#N/A,,,
Burkina Faso,BFA,#N/A,,,
Burundi,BDI,#N/A,,,
Cambodia,KHM,#N/A,,,
Cameroon,CMR,#N/A,,,
Canada,CAN,398.4328073,39843,7289,5955
Cape Verde,CPV,#N/A,,,
Central African Republic,CAF,#N/A,,,
Chad,TCD,#N/A,,,
Chile,CHL,#N/A,,,
China,CHN,8075.04768,807505,147716,120693
Colombia,COL,430.8488985,43085,7882,6439
Comoros,COM,1265.150038,126515,23144,18909
Congo,COG,#N/A,,,
Cook Islands,COK,#N/A,,,
Costa Rica,CRI,#N/A,,,
Côte d'Ivoire,CIV,#N/A,,,
Croatia,HRV,299.6173827,29962,5482,4478
Cuba,CUB,13895.40916,1389541,254186,207687
Cyprus,CYP,69.87790309,6988,1279,1044
Czechia,CZE,#N/A,,,
Democratic People's Republic of Korea,PRK,#N/A,,,
Democratic Republic of the Congo,COD,#N/A,,,
Denmark,DNK,1182.549227,118255,21633,17675
Djibouti,DJI,#N/A,,,
Dominica,DMA,521.8502763,52185,9547,7800
Dominican Republic,DOM,346.6921748,34669,6343,5182
Ecuador,ECU,#N/A,,,
Egypt,EGY,3232.235495,323224,59127,48310
El Salvador,SLV,#N/A,,,
Equatorial Guinea,GNQ,#N/A,,,
Eritrea,ERI,108.9099294,10891,1993,1628
Estonia,EST,#N/A,,,
Eswatini,SWZ,#N/A,,,
Ethiopia,ETH,#N/A,,,
Faroe Islands,FRO,#N/A,,,
Fiji,FJI,1736.290583,173629,31762,25951
Finland,FIN,#N/A,,,
France,FRA,6164.786227,616479,112772,92142
Gabon,GAB,#N/A,,,
Gambia,GMB,#N/A,,,
Georgia,GEO,#N/A,,,
Germany,DEU,396.6855524,39669,7257,5929
Ghana,GHA,2713.711013,271371,49642,40560
Greece,GRC,412.7636302,41276,7552,6169
Grenada,GRD,10.22932005,1023,188,153
Guatemala,GTM,0.179765192,18,4,3
Guinea,GIN,12808.88354,1280888,234310,191448
Guinea-Bissau,GNB,15319.01179,1531901,280227,228965
Guyana,GUY,#N/A,,,
Haiti,HTI,748.6302725,74863,13695,11189
Honduras,HND,2739.154459,273915,50108,40941
Hungary,HUN,#N/A,,,
Iceland,ISL,#N/A,,,
India,IND,4229.408577,422941,77368,63215
Indonesia,IDN,17626.91319,1762691,322445,263460
Iran (Islamic Republic of),IRN,2877.732717,287773,52643,43012
Iraq,IRQ,74.87863181,7488,1371,1119
Ireland,IRL,#N/A,,,
Israel,ISR,17.88112997,1788,328,267
Italy,ITA,8930.935726,893094,163372,133486
Jamaica,JAM,791.6961705,79170,14483,11833
Japan,JPN,473.7325496,47373,8667,7080
Jordan,JOR,1.37055274,137,26,20
Kazakhstan,KAZ,#N/A,,,
Kenya,KEN,171.7723298,17177,3143,2567
Kiribati,KIR,496.2341841,49623,9078,7417
Kuwait,KWT,1584.369167,158437,28983,23681
Kyrgyzstan,KGZ,#N/A,,,
Lao People's Democratic Republic,LAO,#N/A,,,
Latvia,LVA,#N/A,,,
Lebanon,LBN,#N/A,,,
Lesotho,LSO,#N/A,,,
Liberia,LBR,#N/A,,,
Libya,LBY,11.51672593,1152,212,172
Lithuania,LTU,#N/A,,,
Luxembourg,LUX,#N/A,,,
Madagascar,MDG,5764.783415,576478,105455,86163
Malawi,MWI,#N/A,,,
Malaysia,MYS,659.2876811,65929,12061,9854
Maldives,MDV,2400.967025,240097,43921,35886
Mali,MLI,#N/A,,,
Malta,MLT,459.3083426,45931,8403,6865
Marshall Islands,MHL,525.8356368,52584,9620,7859
Mauritania,MRT,#N/A,,,
Mauritius,MUS,132.3081608,13231,2421,1977
Mexico,MEX,27208.52697,2720853,497719,406672
Micronesia (Federated States of),FSM,1584.221306,158422,28981,23678
Monaco,MCO,0.423269562,42,9,6
Mongolia,MNG,#N/A,,,
Montenegro,MNE,#N/A,,,
Morocco,MAR,#N/A,,,
Mozambique,MOZ,706.1774104,70618,12919,10555
Myanmar,MMR,2935.769514,293577,53704,43879
Namibia,NAM,#N/A,,,
Nauru,NRU,#N/A,,,
Nepal,NPL,#N/A,,,
Netherlands,NLD,95.56823846,9557,1749,1428
New Zealand,NZL,#N/A,,,
Nicaragua,NIC,5535.307168,553531,101257,82733
Niger,NER,#N/A,,,
Nigeria,NGA,8829.355767,882936,161514,131968
Niue,NIU,#N/A,,,
North Macedonia,MKD,#N/A,,,
Norway,NOR,57.73257477,5773,1057,863
Oman,OMN,#N/A,,,
Pakistan,PAK,#N/A,,,
Palau,PLW,727.4328353,72743,13308,10872
Panama,PAN,1791.297377,179130,32769,26773
Papua New Guinea,PNG,9286.739001,928674,169881,138804
Paraguay,PRY,#N/A,,,
Peru,PER,#N/A,,,
Philippines,PHL,14960.41453,1496041,273668,223605
Poland,POL,2.659484041,266,50,40
Portugal,PRT,#N/A,,,
Qatar,QAT,1199.850368,119985,21950,17933
Republic of Korea,KOR,#N/A,,,
Republic of Moldova,MDA,#N/A,,,
Romania,ROU,#N/A,,,
Russian Federation,RUS,1343.157663,134316,24571,20075
Rwanda,RWA,#N/A,,,
Saint Kitts and Nevis,KNA,60.08679068,6009,1100,898
Saint Lucia,LCA,6.613636099,661,122,99
Saint Vincent and the Grenadines,VCT,#N/A,,,
Samoa,WSM,982.8723297,98287,17980,14690
San Marino,SMR,#N/A,,,
Sao Tome and Principe,STP,#N/A,,,
Saudi Arabia,SAU,182991.5023,18299150,3347413,2735079
Senegal,SEN,1482.058485,148206,27112,22151
Serbia,SRB,#N/A,,,
Seychelles,SYC,#N/A,,,
Sierra Leone,SLE,4411.132467,441113,80693,65931
Singapore,SGP,238.1358937,23814,4357,3559
Slovakia,SVK,#N/A,,,
Slovenia,SVN,0.084996908,8,3,1
Solomon Islands,SLB,1253.887968,125389,22938,18741
Somalia,SOM,#N/A,,,
South Africa,ZAF,405.565676,40557,7420,6062
South Sudan,SSD,#N/A,,,
Spain,ESP,4142.132049,414213,75772,61910
Sri Lanka,LKA,2867.853262,286785,52462,42864
Sudan,SDN,4439.927281,443993,81219,66361
Suriname,SUR,#N/A,,,
Sweden,SWE,43.53738457,4354,797,651
Switzerland,CHE,#N/A,,,
Syrian Arab Republic,SYR,#N/A,,,
Tajikistan,TJK,#N/A,,,
Thailand,THA,1819.930603,181993,33292,27201
Timor-Leste,TLS,334.7836362,33478,6125,5004
Togo,TGO,189.8220861,18982,3473,2837
Tokelau,TKL,#N/A,,,
Tonga,TON,3684.589054,368459,67402,55071
Trinidad and Tobago,TTO,1.119929111,112,21,17
Tunisia,TUN,4990.046249,499005,91283,74583
Turkey,TUR,0.354872189,35,7,5
Turkmenistan,TKM,#N/A,,,
Tuvalu,TUV,#N/A,,,
Uganda,UGA,#N/A,,,
Ukraine,UKR,11926.26882,1192627,218165,178256
United Arab Emirates,ARE,4563.048614,456305,83472,68201
United Kingdom of Great Britain and Northern Ireland,GBR,1197.58964,119759,21908,17900
United Republic of Tanzania,TZA,45.76899188,4577,838,684
United States of America,USA,15623.52779,1562353,285798,233517
Uruguay,URY,#N/A,,,
Uzbekistan,UZB,#N/A,,,
Vanuatu,VUT,1237.733138,123773,22643,18500
Venezuela (Bolivarian Republic of),VEN,1286.253744,128625,23530,19225
Viet Nam,VNM,313.9192497,31392,5743,4692
Yemen,YEM,30287.06423,3028706,554034,452685
Zambia,ZMB,#N/A,,,
Zimbabwe,ZWE,#N/A,,,
